id,text,subject,length,complexity,demand,price,keywords
1,calculus integral problem solve step by step solve step by step,math,11,2.71,1.85,222.34,"calculus,integral,problem,solve,step"
2,linear algebra matrix explain,math,4,0.78,0.97,88.44,"linear,algebra,matrix,explain"
3,quantum basics question solve step by step,physics,7,2.27,2.12,180.03,"quantum,basics,question,solve,step"
4,electric circuits problem solve step by step,physics,7,1.15,2.03,124.14,"electric,circuits,problem,solve,step"
5,graph theory shortest path detailed explanation,cs,6,2.31,2.11,194.29,"graph,theory,shortest,path,detailed,explanation"
6,differential equations solve,math,3,2.16,2.16,179.57,"differential,equations,solve"
7,acid base titration,chemistry,3,2.61,0.59,162.86,"acid,base,titration"
8,organic reaction mechanism,chemistry,3,3.1,1.26,205.27,"organic,reaction,mechanism"
9,stoichiometry titration problem solve step by step,chemistry,7,2.51,1.9,201.17,"stoichiometry,titration,problem,solve,step"
10,linear algebra matrix explain show steps,math,6,0.99,1.26,116.49,"linear,algebra,matrix,explain,show,steps"
11,thermodynamics law application,physics,3,1.19,0.56,93.01,"thermodynamics,law,application"
12,organic reaction mechanism,chemistry,3,3.24,1.63,224.96,"organic,reaction,mechanism"
13,electric circuits problem detailed explanation,physics,5,2.43,0.79,160.09,"electric,circuits,problem,detailed,explanation"
14,acid base titration detailed explanation,chemistry,5,1.7,0.94,143.75,"acid,base,titration,detailed,explanation"
15,graph theory shortest path,cs,4,3.08,0.81,191.4,"graph,theory,shortest,path"
16,data structures stack queue,cs,4,1.65,1.69,143.66,"data,structures,stack,queue"
17,acid base titration,chemistry,3,2.54,0.73,175.3,"acid,base,titration"
18,chemical bonding explanation,chemistry,3,1.38,0.82,101.46,"chemical,bonding,explanation"
19,acid base titration,chemistry,3,2.02,0.71,143.71,"acid,base,titration"
20,optics refraction question show steps,physics,5,2.12,2.06,177.81,"optics,refraction,question,show,steps"
21,linear algebra matrix with example,math,5,0.84,1.23,106.31,"linear,algebra,matrix,with,example"
22,stoichiometry titration problem,chemistry,3,1.22,1.63,111.18,"stoichiometry,titration,problem"
23,graph theory shortest path show steps explain,cs,7,1.93,1.6,157.8,"graph,theory,shortest,path,show,steps,explain"
